Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1551287610000,00:10:7f:4d:3f:51,-71,Crestron_5,-76.94180798,38.98535783,7,[WEP][ESS],,-5765
1551287610000,00:10:7f:4d:3f:58,-77,Crestron,-76.94180798,38.98535783,7,[WEP][ESS],,62437
1551284331000,00:15:70:40:ec:20,-70,Edc9sse1,-76.94405665,38.98833205,112,[WEP][ESS],,62437
1551284331000,00:15:ff:db:93:a5,-55,Verizon-MiFi7730L-93A5,-76.94405665,38.98833205,112,[WPA2-PSK-CCMP][ESS][WPS],,-5745
1551284331000,00:15:ff:de:a0:dc,-57,Verizon-MiFi7730L-93A5,-76.94405665,38.98833205,112,[WPA2-PSK-CCMP][ESS][WPS],,62437
1551286048000,00:1c:10:f6:7e:0b,-72,linksys-n,-76.94435438,38.9874909,5,[WPA2-PSK-CCMP][WPA-PSK-TKIP][ESS],,62437
1551287610000,00:1d:05:4d:23:17,-77,Eaton-001D054D2317,-76.94180798,38.98535783,7,[WPA2-PSK-TKIP][ESS],,62437
1551287610000,00:1d:05:4d:24:83,-74,Eaton-001D054D2483,-76.94180798,38.98535783,7,[WPA2-PSK-TKIP][ESS],,62437
1551287610000,00:1d:05:4d:24:bf,-70,Eaton-001D054D24BF,-76.94180798,38.98535783,7,[WPA2-PSK-TKIP][ESS],,62437
1551287730000,00:23:69:bc:40:e0,-85,linksys,-76.94195736,38.98465814,6,[ESS][WPS],,62437
1551287850000,00:2a:10:3d:f0:64,-86,umd-guest,-76.94054314,38.98513643,10,[ESS],,112462
1551287249000,00:2a:10:5a:82:c4,-82,umd-guest,-76.94445485,38.98517243,4,[ESS],,12412
1551287249000,00:2a:10:5a:82:cb,-86,umd-guest,-76.94445485,38.98517243,4,[ESS],,-5320
1551287249000,00:2a:10:5a:82:cc,-86,umd-util2,-76.94445485,38.98517243,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551287249000,00:2a:10:5a:82:cd,-86,umd-secure,-76.94445485,38.98517243,4,[WPA2-EAP-CCMP][ESS],,-5320
1551287125000,00:2a:10:5a:82:ce,-89,eduroam,-76.94364343,38.98518503,6,[WPA2-EAP-CCMP][ESS],,-5320
1551287249000,00:2a:10:5a:82:cf,-85,umd,-76.94445485,38.98517243,4,[ESS],,-5320
1551286048000,00:2a:10:81:b3:30,-91,umd,-76.94435438,38.9874909,5,[ESS],,112462
1551284331000,00:2c:c8:91:2b:81,-80,eduroam,-76.94405665,38.98833205,112,[WPA2-EAP-CCMP][ESS],,12412
1551284331000,00:2c:c8:91:2b:84,-61,umd-guest,-76.94405665,38.98833205,112,[ESS],,12412
1551284331000,00:2c:c8:91:2b:8b,-72,umd-guest,-76.94405665,38.98833205,112,[ESS],,-5260
1551284331000,00:2c:c8:91:2b:8c,-71,umd-util2,-76.94405665,38.98833205,112,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5260
1551284331000,00:2c:c8:91:2b:8d,-71,umd-secure,-76.94405665,38.98833205,112,[WPA2-EAP-CCMP][ESS],,-5260
1551284331000,00:2c:c8:91:2b:8e,-72,eduroam,-76.94405665,38.98833205,112,[WPA2-EAP-CCMP][ESS],,-5260
1551284331000,00:2c:c8:91:2b:8f,-72,umd,-76.94405665,38.98833205,112,[ESS],,-5260
