Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549474590000,00:0a:95:f4:57:cf,-83,BY Network,-76.93727195,38.99129333,3,[WPA2-PSK-CCMP][ESS],,12412
1549474399000,00:0d:93:eb:52:22,-90,cherry,-76.93931118,38.99264398,3,[WPA-PSK-TKIP][ESS],,102457
1549468982000,00:0f:00:55:49:9b,-89,DIRECT-EERIVERmsXx,-76.93693493,38.98920489,7,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549471986000,00:10:7f:4d:3f:51,-80,Crestron_5,-76.94209608,38.9854078,4,[WEP][ESS],,-5765
1549472013000,00:10:7f:4d:3f:58,-72,Crestron,-76.94175767,38.98568706,5,[WEP][ESS],,62437
1549474174000,00:11:32:57:cd:33,-89,BMV Lab,-76.94247479,38.9913502,3,[WPA2-PSK-CCMP][ESS][WPS],,42427
1549469411000,00:11:50:29:02:24,-79,dr_yu_lab,-76.93952259,38.98454075,3,[WPA-PSK-TKIP][ESS],,12412
1549468974000,00:11:74:8e:94:30,-91,MOJO-----secure,-76.93706993,38.98928455,7,[WPA2-EAP-CCMP][ESS],,-5240
1549468846000,00:11:74:8e:95:b0,-77,MOJO-----secure,-76.93672429,38.99079138,3,[WPA2-EAP-CCMP][ESS],,-5240
1549468850000,00:11:74:8e:dc:30,-87,MOJO-----secure,-76.93671691,38.9907277,3,[WPA2-EAP-CCMP][ESS],,-5765
1549468863000,00:11:74:8e:de:a0,-82,MOJO-----secure,-76.93674334,38.99054572,5,[WPA2-EAP-CCMP][ESS],,-5180
1549468863000,00:11:74:8e:de:b0,-84,MOJO-----secure,-76.93674334,38.99054572,5,[WPA2-EAP-CCMP][ESS],,112462
1549472190000,00:15:ff:27:62:3b,-82,VaaH-136763,-76.93966427,38.98692273,4,[WPA2-PSK-CCMP][ESS],,112462
1549469727000,00:15:ff:91:c1:3d,-78,Verizon-4GLTE-BRV-C13D,-76.9387264,38.98079751,3,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549473047000,00:16:fb:b6:db:c0,-77,MOTOROLA-259DC,-76.94651747,38.99142391,3,[WPA2-PSK-CCMP][ESS],,112462
1549471651000,00:18:39:42:71:dc,-81,Aaron Is Calling,-76.94070968,38.98219259,5,[ESS],,62437
1549474171000,00:1d:05:4d:20:95,-87,Eaton-001D054D2095,-76.94253062,38.9913557,3,[WPA2-PSK-TKIP][ESS],,62437
1549471986000,00:1d:05:4d:23:99,-86,Eaton-001D054D2399,-76.94209608,38.9854078,4,[WPA2-PSK-TKIP][ESS],,62437
1549471998000,00:1d:05:4d:24:83,-71,Eaton-001D054D2483,-76.94186016,38.98544116,6,[WPA2-PSK-TKIP][ESS],,62437
1549471998000,00:1d:05:4d:24:bf,-75,Eaton-001D054D24BF,-76.94186016,38.98544116,6,[WPA2-PSK-TKIP][ESS],,62437
1549474264000,00:1f:33:d7:4f:1e,-89,NETGEAR-2.4-G,-76.94082229,38.99134533,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549469549000,00:22:15:af:73:0a,-87,xfinitywifi,-76.93843087,38.98249763,3,[ESS],,-5200
1549469549000,00:22:15:af:73:0b,-86,XFINITY,-76.93843087,38.98249763,3,[WPA2-EAP-CCMP][ESS],,-5200
1549472656000,00:24:b1:02:6a:95,-68,0024b10000026a95,-76.94060827,38.98977356,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,52432
1549468846000,00:25:9c:c9:44:7a,-65,,-76.93672429,38.99079138,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549471399000,00:25:f0:6e:68:5c,-70,tl6e685c,-76.93892854,38.98140827,4,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549474596000,00:2a:10:35:60:90,-86,umd,-76.93718329,38.9912404,3,[ESS],,12412
1549474596000,00:2a:10:35:60:91,-85,eduroam,-76.93718329,38.9912404,3,[WPA2-EAP-CCMP][ESS],,12412
1549474603000,00:2a:10:35:60:94,-79,umd-guest,-76.93718152,38.99112721,3,[ESS],,12412
1549474612000,00:2a:10:35:60:9b,-73,umd-guest,-76.9371597,38.99102501,3,[ESS],,-5240
1549474612000,00:2a:10:35:60:9c,-73,umd-util2,-76.9371597,38.99102501,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5240
1549474614000,00:2a:10:35:60:9d,-73,umd-secure,-76.93713902,38.99100961,3,[WPA2-EAP-CCMP][ESS],,-5240
1549474612000,00:2a:10:35:60:9e,-73,eduroam,-76.9371597,38.99102501,3,[WPA2-EAP-CCMP][ESS],,-5240
1549474612000,00:2a:10:35:60:9f,-73,umd,-76.9371597,38.99102501,3,[ESS],,-5240
1549473485000,00:2a:10:39:0b:d0,-75,umd,-76.94842262,38.98977091,3,[ESS],,12412
1549473432000,00:2a:10:39:0b:d1,-84,eduroam,-76.94879064,38.9903181,3,[WPA2-EAP-CCMP][ESS],,12412
1549473434000,00:2a:10:39:0b:d2,-84,umd-secure,-76.948787,38.99029013,3,[WPA2-EAP-CCMP][ESS],,12412
