Unixtime,BSSID,SignalstrengthdBm,SSID,Longitude,Latitude,GPSAccuracy,APCapabilities,Channel,Frequency
1549290000000,00:09:5b:d8:1f:40,-87,<undefined>,-76.93755759,38.98853716,3,[WEP][ESS],,82447
1549290000000,00:0d:67:8b:23:8f,-87,CableWiFi,-76.94641002,38.98550842,3,[ESS],,12412
1549290000000,00:10:7f:13:18:5c,-89,OIT/AS/IF,-76.94706599,38.98586549,3,[WEP][ESS],,-5180
1549290000000,00:10:7f:4d:3f:51,-74,Crestron_5,-76.94147792,38.98545992,3,[WEP][ESS],,-5765
1549290000000,00:10:7f:4d:3f:58,-73,Crestron,-76.9416709,38.98548663,3,[WEP][ESS],,62437
1549290000000,00:11:74:8e:95:b0,-71,MOJO-----secure,-76.93658305,38.99078874,11,[WPA2-EAP-CCMP][ESS],,-5240
1549290000000,00:11:74:8e:de:a0,-85,MOJO-----secure,-76.93661728,38.99063238,7,[WPA2-EAP-CCMP][ESS],,-5180
1549290000000,00:11:74:8e:de:b0,-86,MOJO-----secure,-76.93662122,38.99059757,9,[WPA2-EAP-CCMP][ESS],,112462
1549290000000,00:15:ff:be:ef:e6,-79,Verizon-MiFi6620L-EFE6,-76.94643495,38.98701345,4,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549290000000,00:16:fb:b6:eb:c0,-89,HP-Print-97-Deskjet 3510 series,-76.94606596,38.99194152,4,[WPA2-PSK-CCMP][ESS],,-5180
1549290000000,00:17:5a:e6:ca:f5,-78,<undefined>,-76.9470728,38.98614075,9,[ESS],,-5745
1549290000000,00:1c:10:33:da:2d,-78,wireless,-76.94299435,38.98845038,5,[WPA-PSK-CCMP][ESS],,112462
1549290000000,00:1c:10:f6:7e:0b,-88,linksys-n,-76.9431695,38.98764712,5,[WPA2-PSK-CCMP][WPA-PSK-TKIP][ESS],,62437
1549290000000,00:1c:b3:ae:80:8f,-74,Eichhorn Network,-76.93905521,38.9902029,5,[WPA2-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS],,62437
1549290000000,00:1d:05:4d:23:17,-75,Eaton-001D054D2317,-76.94182946,38.98546882,3,[WPA2-PSK-TKIP][ESS],,62437
1549290000000,00:1d:05:4d:24:83,-73,Eaton-001D054D2483,-76.94200292,38.98545796,3,[WPA2-PSK-TKIP][ESS],,62437
1549290000000,00:1d:05:4d:24:bf,-65,Eaton-001D054D24BF,-76.94182946,38.98546882,3,[WPA2-PSK-TKIP][ESS],,62437
1549290000000,00:1d:05:4d:2a:8b,-83,Eaton-001D054D2A8B,-76.9441733,38.98608076,3,[WPA2-PSK-TKIP][ESS],,62437
1549290000000,00:1d:73:b3:6e:61,-82,001D73B36E61,-76.94299517,38.98838638,4,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,82447
1549290000000,00:21:29:ac:a1:16,-65,<undefined>,-76.93704971,38.9892533,4,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1549290000000,00:21:29:d4:f9:00,-81,Hedwig,-76.9421135,38.9854665,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549290000000,00:24:b2:0f:59:14,-83,FalveyGroup,-76.93905521,38.9902029,5,[WEP][ESS],,12412
